station_id_13,time,PM25_Concentration_13,PM10_Concentration_13,NO2_Concentration_13,CO_Concentration_13,O3_Concentration_13,SO2_Concentration_13
1014.0,2014-05-01 00:00:00,74.0,83.3,56.7,0.8,119.1,10.4
1014.0,2014-05-01 01:00:00,87.0,92.2,48.0,0.8,116.1,3.6
1014.0,2014-05-01 02:00:00,94.0,104.3,103.1,0.9,56.0,7.5
1014.0,2014-05-01 03:00:00,96.0,103.3,66.4,0.7,80.8,7.0
1014.0,2014-05-01 04:00:00,103.0,111.9,79.6,0.9,58.9,7.4
1014.0,2014-05-01 05:00:00,94.0,101.8,35.6,0.8,96.5,5.2
1014.0,2014-05-01 06:00:00,97.0,108.1,63.3,1.0,53.7,4.0
1014.0,2014-05-01 07:00:00,125.0,135.9,109.1,1.3,2.0,3.0
1014.0,2014-05-01 08:00:00,147.0,162.8,101.4,1.5,3.3,2.0
1014.0,2014-05-01 09:00:00,150.0,154.9,88.1,1.3,18.6,5.1
1014.0,2014-05-01 10:00:00,136.0,146.8,70.4,1.1,35.2,11.2
1014.0,2014-05-01 11:00:00,141.0,147.6,69.8,1.1,63.2,28.8
1014.0,2014-05-01 12:00:00,143.0,142.9,53.1,1.0,110.5,30.0
1014.0,2014-05-01 13:00:00,135.0,138.2,38.6,0.9,150.4,29.7
1014.0,2014-05-01 14:00:00,147.0,133.4,49.5,1.0,155.4,31.8
1014.0,2014-05-01 15:00:00,143.0,128.7,53.7,1.1,161.8,34.4
1014.0,2014-05-01 16:00:00,124.0,124.0,65.2,1.1,163.6,31.8
1014.0,2014-05-01 17:00:00,114.0,119.3,38.7,1.1,197.4,34.0
1014.0,2014-05-01 18:00:00,125.0,114.6,25.3,1.0,215.6,33.4
1014.0,2014-05-01 19:00:00,79.0,109.9,21.6,0.7,114.0,17.4
1014.0,2014-05-01 20:00:00,67.0,105.1,24.0,0.5,67.1,4.4
1014.0,2014-05-01 21:00:00,71.0,100.4,14.9,0.5,79.4,3.6
1014.0,2014-05-01 22:00:00,47.0,95.7,15.0,0.5,77.4,2.0
1014.0,2014-05-01 23:00:00,28.0,91.0,13.9,0.5,75.2,2.0
1014.0,2014-05-02 00:00:00,37.0,86.3,26.5,0.6,55.3,2.0
1014.0,2014-05-02 01:00:00,25.0,81.5,14.3,0.6,68.4,2.0
1014.0,2014-05-02 02:00:00,22.0,76.8,17.7,0.6,54.8,2.0
1014.0,2014-05-02 03:00:00,28.0,72.1,15.8,0.6,34.0,4.8
1014.0,2014-05-02 04:00:00,23.0,67.4,13.5,0.5,38.1,7.7
1014.0,2014-05-02 05:00:00,16.0,62.7,19.0,0.4,34.4,6.1
1014.0,2014-05-02 06:00:00,15.0,57.9,13.7,0.4,30.8,4.1
1014.0,2014-05-02 07:00:00,16.0,53.2,8.4,0.3,93.2,2.0
1014.0,2014-05-02 08:00:00,16.0,48.5,8.7,0.3,98.4,2.0
1014.0,2014-05-02 09:00:00,13.0,43.8,9.9,0.2,89.8,2.0
1014.0,2014-05-02 10:00:00,24.0,39.1,9.8,0.3,85.9,2.0
1014.0,2014-05-02 11:00:00,20.0,34.4,12.1,0.1,87.4,2.0
1014.0,2014-05-02 12:00:00,16.0,29.6,13.7,0.1,91.1,2.0
1014.0,2014-05-02 13:00:00,15.0,24.9,9.4,0.1,99.5,2.0
1014.0,2014-05-02 14:00:00,15.0,20.2,8.0,0.1,105.0,2.0
1014.0,2014-05-02 15:00:00,11.0,24.7,7.7,0.1,106.2,2.5
1014.0,2014-05-02 16:00:00,11.0,21.6,10.2,0.1,105.9,3.6
1014.0,2014-05-02 17:00:00,5.0,39.9,13.0,0.1,96.6,2.1
1014.0,2014-05-02 18:00:00,11.0,34.4,10.5,0.1,98.5,2.0
1014.0,2014-05-02 19:00:00,15.0,87.7,13.0,0.1,93.4,3.6
1014.0,2014-05-02 20:00:00,11.0,12.6,16.6,0.1,86.9,2.9
1014.0,2014-05-02 21:00:00,7.0,17.1,35.3,0.2,64.3,2.7
1014.0,2014-05-02 22:00:00,23.0,53.9,92.3,0.7,2.0,3.4
1014.0,2014-05-02 23:00:00,34.0,65.8,96.2,1.0,2.0,2.8
1014.0,2014-05-03 00:00:00,47.0,93.0,102.8,1.2,2.0,4.0
1014.0,2014-05-03 01:00:00,49.0,89.8,89.8,1.0,2.0,5.1
1014.0,2014-05-03 02:00:00,46.0,97.5,109.7,1.3,2.0,4.7
1014.0,2014-05-03 03:00:00,45.0,87.0,124.4,1.2,2.0,2.6
1014.0,2014-05-03 04:00:00,42.0,71.0,110.9,0.8,2.0,3.7
