station_id_2,time,PM25_Concentration_2,PM10_Concentration_2,NO2_Concentration_2,CO_Concentration_2,O3_Concentration_2,SO2_Concentration_2
4007.0,2014-05-01 00:00:00,43.0,55.0,39.0,0.5,77.0,16.0
4007.0,2014-05-01 01:00:00,48.0,48.0,40.0,0.4,65.0,10.0
4007.0,2014-05-01 02:00:00,38.0,42.8,57.0,0.4,54.0,15.0
4007.0,2014-05-01 03:00:00,34.0,37.5,48.0,0.4,57.0,18.0
4007.0,2014-05-01 04:00:00,26.0,32.2,31.0,0.4,66.0,19.0
4007.0,2014-05-01 05:00:00,23.0,27.0,53.0,0.4,57.0,30.0
4007.0,2014-05-01 06:00:00,22.0,32.0,55.0,0.4,53.0,23.0
4007.0,2014-05-01 07:00:00,23.0,36.0,50.0,0.4,53.0,26.0
4007.0,2014-05-01 08:00:00,28.0,37.0,37.0,0.4,69.0,14.0
4007.0,2014-05-01 09:00:00,26.0,38.0,58.0,0.4,51.0,36.0
4007.0,2014-05-01 10:00:00,19.0,27.0,65.0,0.5,50.0,44.0
4007.0,2014-05-01 11:00:00,19.0,21.0,57.0,0.4,56.0,26.0
4007.0,2014-05-01 12:00:00,18.0,21.0,34.0,0.4,69.0,18.0
4007.0,2014-05-01 13:00:00,18.0,19.0,23.0,0.4,74.0,10.0
4007.0,2014-05-01 14:00:00,16.0,19.0,40.0,0.4,68.0,26.0
4007.0,2014-05-01 15:00:00,15.0,19.0,9.0,0.4,88.0,8.0
4007.0,2014-05-01 16:00:00,15.0,18.0,22.0,0.4,86.0,10.0
4007.0,2014-05-01 17:00:00,13.0,20.0,23.0,0.4,85.0,9.0
4007.0,2014-05-01 18:00:00,12.0,16.0,27.0,0.4,78.0,7.0
4007.0,2014-05-01 19:00:00,11.0,17.0,10.0,0.4,78.0,6.0
4007.0,2014-05-01 20:00:00,13.0,21.0,18.0,0.5,75.0,7.0
4007.0,2014-05-01 21:00:00,9.0,21.0,21.0,0.5,73.0,7.0
4007.0,2014-05-01 22:00:00,7.0,14.0,49.0,0.5,62.0,16.0
4007.0,2014-05-01 23:00:00,7.0,13.0,27.0,0.4,73.0,11.0
4007.0,2014-05-02 00:00:00,10.0,14.4,24.0,0.4,72.0,9.0
4007.0,2014-05-02 01:00:00,12.0,15.9,8.0,3.5,78.0,7.0
4007.0,2014-05-02 02:00:00,14.0,17.3,2.0,0.4,82.0,6.0
4007.0,2014-05-02 03:00:00,14.0,18.7,2.0,0.4,84.0,7.0
4007.0,2014-05-02 04:00:00,16.0,20.1,22.5,0.4,79.0,6.0
4007.0,2014-05-02 05:00:00,18.0,21.6,43.0,0.4,64.0,15.0
4007.0,2014-05-02 06:00:00,20.0,23.0,39.0,0.4,64.0,15.0
4007.0,2014-05-02 07:00:00,20.0,24.0,53.0,0.4,55.0,20.0
4007.0,2014-05-02 08:00:00,21.0,31.0,49.0,0.4,52.0,19.0
4007.0,2014-05-02 09:00:00,20.0,24.0,37.0,0.4,57.0,16.0
4007.0,2014-05-02 10:00:00,14.0,14.0,26.0,0.4,75.0,21.0
4007.0,2014-05-02 11:00:00,11.0,12.0,12.0,0.4,88.0,12.0
4007.0,2014-05-02 12:00:00,11.0,12.0,9.0,0.5,89.0,12.0
4007.0,2014-05-02 13:00:00,8.0,11.0,1.0,0.5,96.0,7.0
4007.0,2014-05-02 14:00:00,9.0,11.0,3.0,0.4,103.0,8.0
4007.0,2014-05-02 15:00:00,10.0,13.0,1.0,0.5,107.0,7.0
4007.0,2014-05-02 16:00:00,10.0,13.0,1.0,0.5,107.0,7.0
4007.0,2014-05-02 17:00:00,11.0,18.0,1.0,0.4,101.0,6.0
4007.0,2014-05-02 18:00:00,18.0,31.0,6.0,0.4,96.0,8.0
4007.0,2014-05-02 19:00:00,22.0,34.0,5.0,0.4,99.0,8.0
4007.0,2014-05-02 20:00:00,18.0,34.0,16.0,0.4,94.0,9.0
4007.0,2014-05-02 21:00:00,20.0,29.0,44.0,0.4,88.0,17.0
4007.0,2014-05-02 22:00:00,18.0,28.0,40.0,0.4,89.0,15.0
4007.0,2014-05-02 23:00:00,19.0,26.0,27.0,0.4,93.0,12.0
4007.0,2014-05-03 00:00:00,19.0,27.0,50.0,0.4,82.0,23.0
4007.0,2014-05-03 01:00:00,19.0,22.0,36.0,0.4,84.0,16.0
4007.0,2014-05-03 02:00:00,18.0,21.0,31.0,0.4,87.0,26.0
4007.0,2014-05-03 03:00:00,19.0,26.0,32.0,0.4,82.0,24.0
4007.0,2014-05-03 04:00:00,20.0,26.0,28.0,0.4,73.0,15.0
4007.0,2014-05-03 05:00:00,20.0,27.0,59.0,0.4,55.0,30.0
4007.0,2014-05-03 06:00:00,20.0,32.0,33.0,0.4,64.0,13.0
4007.0,2014-05-03 07:00:00,20.0,36.0,47.0,0.4,60.0,12.0
